0.158,0.0683,0.1684,0.1639,0.0726,0.2325,0.2112,0.2347,0.0689,0.1584,0.1002,0.2397,0.0843,0.078,0.0739,0.1306,0.0976,0.2064,0.153,0.0576,0.1772,0.2684,0.2539,0.1189,0.159,0.1466,0.2522,0.1162,0.1617,0.0647,0.1529,0.1299,0.1435,0.1658,0.2671,0.088,0.0885,0.1785
0.1449,0.0619,0.144,0.1996,0.0799,0.2586,0.2453,0.2712,0.0671,0.1408,0.0856,0.2735,0.075,0.1128,0.0687,0.1131,0.1093,0.1719,0.1592,0.0606,0.2069,0.2406,0.2756,0.1261,0.1335,0.106,0.2859,0.0885,0.1643,0.0763,0.1754,0.116,0.1225,0.1826,0.357,0.064,0.0878,0.1625
0.0856,0.0795,0.0831,0.1596,0.2094,0.2327,0.169,0.113,0.1021,0.1969,0.1452,0.2885,0.1617,0.1341,0.1985,0.146,0.0857,0.2422,0.2235,0.1094,0.2785,0.2112,0.2215,0.1908,0.1602,0.1448,0.1475,0.0648,0.2814,0.0615,0.1287,0.0641,0.0389,0.0908,0.1891,0.0476,0.0696,0.1147
0.0986,0.1112,0.0943,0.0976,0.0974,0.13,0.1124,0.1244,0.0834,0.1454,0.1216,0.1555,0.1349,0.0858,0.0891,0.1004,0.0955,0.1404,0.171,0.0943,0.1397,0.1505,0.1359,0.0885,0.1583,0.1268,0.12,0.1182,0.2029,0.0934,0.0964,0.0961,0.1189,0.0956,0.1488,0.0768,0.158,0.1995
0.086,0.0622,0.0852,0.1373,0.1032,0.2645,0.1743,0.1786,0.0516,0.1596,0.1005,0.3411,0.0913,0.097,0.089,0.1129,0.0646,0.2156,0.213,0.0589,0.2571,0.2571,0.2654,0.1012,0.1685,0.1202,0.2206,0.0704,0.2923,0.0583,0.1297,0.0763,0.0844,0.1008,0.2793,0.0551,0.112,0.1936
0.1201,0.0785,0.0942,0.1355,0.1475,0.2352,0.1513,0.1316,0.1002,0.1915,0.1373,0.2725,0.1448,0.1063,0.1527,0.1425,0.0808,0.2302,0.2191,0.0909,0.2396,0.219,0.2274,0.1269,0.1611,0.1486,0.1499,0.0729,0.2546,0.0606,0.1334,0.0765,0.0574,0.0971,0.1957,0.06,0.0739,0.1171
0.0847,0.0758,0.0767,0.1425,0.139,0.2109,0.1502,0.1372,0.0731,0.1716,0.1148,0.2882,0.1225,0.098,0.1216,0.1227,0.0851,0.2009,0.1877,0.0775,0.2254,0.2182,0.2198,0.1206,0.1745,0.1326,0.1754,0.0844,0.2451,0.0724,0.1388,0.0833,0.0668,0.1023,0.2091,0.0579,0.0811,0.1268
0.0861,0.0709,0.0729,0.1247,0.1352,0.2589,0.1646,0.1342,0.0554,0.1952,0.1111,0.359,0.1234,0.0999,0.1142,0.1209,0.0528,0.2472,0.227,0.0652,0.2685,0.2602,0.2468,0.1075,0.2042,0.152,0.1702,0.0746,0.3081,0.0656,0.1357,0.0798,0.0591,0.1009,0.2318,0.059,0.0812,0.1354
0.0879,0.0737,0.0877,0.1252,0.1437,0.2176,0.1531,0.1407,0.0672,0.1791,0.117,0.2844,0.1369,0.1114,0.1166,0.1491,0.0852,0.2411,0.2419,0.0906,0.2735,0.2425,0.2302,0.134,0.1834,0.1523,0.1722,0.0734,0.2826,0.0606,0.1248,0.0736,0.0735,0.1184,0.2418,0.0607,0.0868,0.1463
0.1392,0.1164,0.121,0.1109,0.2122,0.0585,0.0815,0.0659,0.1672,0.0938,0.1369,0.0474,0.3674,0.1367,0.2455,0.1509,0.16,0.0796,0.1118,0.2554,0.1358,0.0552,0.0592,0.2005,0.0745,0.1185,0.0531,0.0777,0.0695,0.0819,0.0592,0.0726,0.0572,0.0679,0.0483,0.0606,0.0577,0.0686
